stage,date,distance_km,origin,destination,type,winner,winner_country,year
24,1931-07-26,313.0,Malo-les-Bains,Paris,Flat stage,Charles Pélissier,FRA,1931
1,1930-07-02,206.0,Paris,Caen,Flat stage,Charles Pélissier,FRA,1930
2,1930-07-03,203.0,Caen,Dinan,Flat stage,Learco Guerra,ITA,1930
3,1930-07-04,206.0,Dinan,Brest,Flat stage,Charles Pélissier,FRA,1930
4,1930-07-05,210.0,Brest,Vannes,Flat stage,Omer Taverne,BEL,1930
5,1930-07-06,202.0,Vannes,Les Sables d'Olonne,Flat stage,André Leducq,FRA,1930
6,1930-07-07,285.0,Les Sables d'Olonne,Bordeaux,Flat stage,Jean Aerts,BEL,1930
7,1930-07-08,222.0,Bordeaux,Hendaye,Flat stage,Jules Merviel,FRA,1930
8,1930-07-09,146.0,Hendaye,Pau,Flat stage,Alfredo Binda,ITA,1930
9,1930-07-10,231.0,Pau,Luchon,Mountain stage,Alfredo Binda,ITA,1930
10,1930-07-12,322.0,Luchon,Perpignan,Mountain stage,Charles Pélissier,FRA,1930
11,1930-07-14,164.0,Perpignan,Montpellier,Flat stage,Charles Pélissier,FRA,1930
12,1930-07-15,209.0,Montpellier,Marseille,Flat stage,Antonin Magne,FRA,1930
13,1930-07-16,181.0,Marseille,Cannes,Flat stage,Learco Guerra,ITA,1930
14,1930-07-17,132.0,Cannes,Nice,Mountain stage,Louis Peglion,FRA,1930
15,1930-07-19,333.0,Nice,Grenoble,Mountain stage,Learco Guerra,ITA,1930
16,1930-07-21,331.0,Grenoble,Evian,Mountain stage,André Leducq,FRA,1930
17,1930-07-23,282.0,Evian,Belfort,Mountain stage,Frans Bonduel,BEL,1930
18,1930-07-24,223.0,Belfort,Metz,Flat stage,Charles Pélissier,FRA,1930
19,1930-07-25,159.0,Metz,Charleville,Flat stage,Charles Pélissier,FRA,1930
20,1930-07-26,271.0,Charleville,Malo-les-Bains,Flat stage,Charles Pélissier,FRA,1930
21,1930-07-27,300.0,Malo-les-Bains,Paris,Flat stage,Charles Pélissier,FRA,1930
1,1929-06-30,206.0,Paris,Caen,Flat stage,Aimé Dossche,BEL,1929
2,1929-07-01,140.0,Caen,Cherbourg,Flat stage,André Leducq,FRA,1929
3,1929-07-02,199.0,Cherbourg,Dinan,Flat stage,Omer Taverne,BEL,1929
4,1929-07-03,206.0,Dinan,Brest,Flat stage,Louis Delannoy,BEL,1929
5,1929-07-04,208.0,Brest,Vannes,Flat stage,Gustaaf van Slembrouck,BEL,1929
6,1929-07-05,206.0,Vannes,Les Sables d'Olonne,Flat stage,Paul Le Drogo,FRA,1929
7,1929-07-06,285.0,Les Sables d'Olonne,Bordeaux,Flat stage,Nicolas Frantz,LUX,1929
8,1929-07-07,182.0,Bordeaux,Bayonne,Flat stage,Julien Moineau,FRA,1929
9,1929-07-09,363.0,Bayonne,Luchon,Mountain stage,Salvador Cardona,ESP,1929
10,1929-07-11,323.0,Luchon,Perpignan,Mountain stage,Jef Demuysere,BEL,1929
11,1929-07-13,366.0,Perpignan,Marseille,Flat stage,André Leducq,FRA,1929
12,1929-07-15,191.0,Marseille,Cannes,Team time trial,Marcel Bidot,FRA,1929
13,1929-07-16,133.0,Cannes,Nice,Mountain stage,Benoît Fauré,FRA,1929
14,1929-07-18,333.0,Nice,Grenoble,Mountain stage,Gaston Rebry,BEL,1929
15,1929-07-20,329.0,Grenoble,Evian,Mountain stage,Julien Vervaecke,BEL,1929
16,1929-07-22,283.0,Evian,Belfort,Mountain stage,Charles Pélissier,FRA,1929
17,1929-07-23,145.0,Belfort,Strasbourg,Flat stage,André Leducq,FRA,1929
18,1929-07-24,165.0,Strasbourg,Metz,Flat stage,André Leducq,FRA,1929
19,1929-07-25,159.0,Metz,Charleville,Team time trial,Bernard van Rysselberghe,BEL,1929
20,1929-07-26,270.0,Charleville,Malo-les-Bains,Team time trial,Maurice Dewaele,BEL,1929
21,1929-07-27,234.0,Malo-les-Bains,Dieppe,Flat stage,André Leducq,FRA,1929
22,1929-07-28,332.0,Dieppe,Paris,Flat stage,Nicolas Frantz,LUX,1929
1,1928-06-17,207.0,Paris,Caen,Team time trial,Nicolas Frantz,LUX,1928
2,1928-06-18,140.0,Caen,Cherbourg,Team time trial,André Leducq,FRA,1928
3,1928-06-19,199.0,Cherbourg,Dinan,Team time trial,Gaston Rebry,BEL,1928
4,1928-06-20,206.0,Dinan,Brest,Team time trial,Pé Verhaegen,BEL,1928
5,1928-06-21,208.0,Brest,Vannes,Team time trial,Marcel Bidot,FRA,1928
6,1928-06-22,204.0,Vannes,Les Sables d'Olonne,Team time trial,Nicolas Frantz,LUX,1928
7,1928-06-23,285.0,Les Sables d'Olonne,Bordeaux,Team time trial,Victor Fontan,FRA,1928
8,1928-06-24,225.0,Bordeaux,Hendaye,Team time trial,Maurice Dewaele,BEL,1928
9,1928-06-26,387.0,Hendaye,Luchon,Mountain stage,Victor Fontan,FRA,1928
10,1928-06-28,323.0,Luchon,Perpignan,Mountain stage,André Leducq,FRA,1928
11,1928-06-30,363.0,Perpignan,Marseille,Flat stage,André Leducq,FRA,1928
12,1928-07-02,330.0,Marseille,Nice,Mountain stage,Nicolas Frantz,LUX,1928
13,1928-07-04,333.0,Nice,Grenoble,Mountain stage,Antonin Magne,FRA,1928
14,1928-07-06,329.0,Grenoble,Evian,Mountain stage,Julien Moineau,FRA,1928
15,1928-07-08,213.0,Evian,Pontarlier,Team time trial,Pierre Magne,FRA,1928
16,1928-07-09,119.0,Pontarlier,Belfort,Team time trial,André Leducq,FRA,1928
17,1928-07-10,145.0,Belfort,Strasbourg,Team time trial,Joseph Mauclair,FRA,1928
18,1928-07-11,165.0,Strasbourg,Metz,Team time trial,Nicolas Frantz,LUX,1928
19,1928-07-12,159.0,Metz,Charleville,Team time trial,Marcel Huot,FRA,1928
20,1928-07-13,271.0,Charleville,Malo-les-Bains,Team time trial,Maurice Dewaele,BEL,1928
21,1928-07-14,234.0,Malo-les-Bains,Dieppe,Team time trial,Antonin Magne,FRA,1928
22,1928-07-15,331.0,Dieppe,Paris,Flat stage,Nicolas Frantz,LUX,1928
1,1927-06-19,180.0,Paris,Dieppe,Team time trial,Francis Pélissier,FRA,1927
2,1927-06-20,103.0,Dieppe,Le Havre,Team time trial,Maurice Dewaele,BEL,1927
3,1927-06-21,225.0,Le Havre,Caen,Team time trial,Hector Martin,BEL,1927
4,1927-06-22,140.0,Caen,Cherbourg,Team time trial,Camille van de Casteele,BEL,1927
5,1927-06-23,199.0,Cherbourg,Dinan,Team time trial,Ferdinand Le Drogo,FRA,1927
6,1927-06-24,206.0,Dinan,Brest,Team time trial,André Leducq,FRA,1927
7,1927-06-25,207.0,Brest,Vannes,Team time trial,Gustaaf van Slembrouck,BEL,1927
8,1927-06-26,204.0,Vannes,Les Sables d'Olonne,Team time trial,Raymond Decorte,BEL,1927
9,1927-06-27,285.0,Les Sables d'Olonne,Bordeaux,Team time trial,Adelin Benoit,BEL,1927
10,1927-06-28,189.0,Bordeaux,Bayonne,Flat stage,Pé Verhaegen,BEL,1927
11,1927-06-30,326.0,Bayonne,Luchon,Mountain stage,Nicolas Frantz,LUX,1927
12,1927-07-02,323.0,Luchon,Perpignan,Mountain stage,Gustaaf van Slembrouck,BEL,1927
13,1927-07-04,360.0,Perpignan,Marseille,Flat stage,Maurice Dewaele,BEL,1927
14,1927-07-05,120.0,Marseille,Toulon,Team time trial,Antonin Magne,FRA,1927
15,1927-07-06,220.0,Toulon,Nice,Mountain stage,Nicolas Frantz,LUX,1927
16,1927-07-08,275.0,Nice,Briançon,Mountain stage,Julien Vervaecke,BEL,1927
17,1927-07-09,283.0,Briançon,Evian,Mountain stage,Pé Verhaegen,BEL,1927
18,1927-07-11,213.0,Evian,Pontarlier,Team time trial,Adelin Benoit,BEL,1927
19,1927-07-12,119.0,Pontarlier,Belfort,Team time trial,Maurice Geldhof,BEL,1927
20,1927-07-13,145.0,Belfort,Strasbourg,Team time trial,Raymond Decorte,BEL,1927
21,1927-07-14,165.0,Strasbourg,Metz,Team time trial,Nicolas Frantz,LUX,1927
22,1927-07-15,159.0,Metz,Charleville,Team time trial,Hector Martin,BEL,1927
23,1927-07-16,270.0,Charleville,Dunkerque,Team time trial,André Leducq,FRA,1927
24,1927-07-17,344.0,Dunkerque,Paris,Flat stage,André Leducq,FRA,1927
1,1926-06-20,373.0,Evian,Mülhausen,Flat stage,Jules Buysse,BEL,1926
2,1926-06-22,334.0,Mülhausen,Metz,Flat stage,Aimé Dossche,BEL,1926
3,1926-06-24,433.0,Metz,Dunkerque,Flat stage,Gustaaf van Slembrouck,BEL,1926
4,1926-06-26,361.0,Dunkerque,Le Havre,Flat stage,Félix Sellier,BEL,1926
5,1926-06-28,357.0,Le Havre,Cherbourg,Flat stage,Adelin Benoit,BEL,1926
6,1926-06-30,405.0,Cherbourg,Brest,Flat stage,Joseph van Dam,BEL,1926
7,1926-07-02,412.0,Brest,Les Sables d'Olonne,Flat stage,Nicolas Frantz,LUX,1926
8,1926-07-03,285.0,Les Sables d'Olonne,Bordeaux,Flat stage,Joseph van Dam,BEL,1926
9,1926-07-04,189.0,Bordeaux,Bayonne,Flat stage,Nicolas Frantz,LUX,1926
10,1926-07-06,326.0,Bayonne,Luchon,Mountain stage,Lucien Buysse,BEL,1926
11,1926-07-08,323.0,Luchon,Perpignan,Mountain stage,Lucien Buysse,BEL,1926
12,1926-07-10,427.0,Perpignan,Toulon,Flat stage,Nicolas Frantz,LUX,1926
13,1926-07-12,280.0,Toulon,Nice,Flat stage,Nicolas Frantz,LUX,1926
14,1926-07-14,275.0,Nice,Briançon,Mountain stage,Bartolomeo Aimo,ITA,1926
15,1926-07-16,303.0,Briançon,Evian,Mountain stage,Joseph van Dam,BEL,1926
16,1926-07-17,321.0,Evian,Dijon,Flat stage,Camille van de Casteele,BEL,1926
17,1926-07-18,341.0,Dijon,Paris,Flat stage,Aimé Dossche,BEL,1926
1,1925-06-21,340.0,Paris,Le Havre,Flat stage,Ottavio Bottecchia,ITA,1925
2,1925-06-23,371.0,Le Havre,Cherbourg,Flat stage,Romain Bellenger,FRA,1925
3,1925-06-25,405.0,Cherbourg,Brest,Flat stage,Louis Mottiat,BEL,1925
4,1925-06-26,208.0,Brest,Vannes,Flat stage,Nicolas Frantz,LUX,1925
5,1925-06-27,204.0,Vannes,Les Sables-d'Olonne,Flat stage,Nicolas Frantz,LUX,1925
6,1925-06-28,293.0,Les Sables-d'Olonne,Bordeaux,Flat stage,Ottavio Bottecchia,ITA,1925
7,1925-06-29,189.0,Bordeaux,Bayonne,Flat stage,Ottavio Bottecchia,ITA,1925
8,1925-07-01,326.0,Bayonne,Luchon,Mountain stage,Adelin Benoît,BEL,1925
9,1925-07-03,323.0,Luchon,Perpignan,Mountain stage,Nicolas Frantz,LUX,1925
10,1925-07-04,215.0,Perpignan,Nîmes,Flat stage,Theophile Beeckman,BEL,1925
11,1925-07-05,215.0,Nîmes,Toulon,Flat stage,Lucien Buysse,BEL,1925
12,1925-07-07,280.0,Toulon,Nice,Mountain stage,Lucien Buysse,BEL,1925
13,1925-07-09,275.0,Nice,Briançon,Mountain stage,Bartolomeo Aimo,ITA,1925
14,1925-07-11,303.0,Briançon,Evian,Mountain stage,Hector Martin,BEL,1925
15,1925-07-13,373.0,Evian,Mulhouse,Mountain stage,Nicolas Frantz,LUX,1925
16,1925-07-15,334.0,Mulhouse,Metz,Flat stage,Hector Martin,BEL,1925
17,1925-07-17,433.0,Metz,Dunkerque,Flat stage,Hector Martin,BEL,1925
18,1925-07-19,343.0,Dunkerque,Paris,Flat stage,Ottavio Bottecchia,ITA,1925
1,1924-06-22,381.0,Paris,Le Havre,Flat stage,Ottavio Bottecchia,ITA,1924
2,1924-06-24,371.0,Le Havre,Cherbourg,Flat stage,Romain Bellenger,FRA,1924
3,1924-06-26,405.0,Cherbourg,Brest,Flat stage,Philippe Thys  Théophile Beeckman,"c(""BEL"", ""BEL"")",1924
4,1924-06-28,412.0,Brest,Les Sables-d'Olonne,Flat stage,Félix Goethals,FRA,1924
5,1924-06-30,482.0,Les Sables-d'Olonne,Bayonne,Flat stage,Omer Huyse,BEL,1924
6,1924-07-02,326.0,Bayonne,Luchon,Mountain stage,Ottavio Bottecchia,ITA,1924
7,1924-07-04,323.0,Luchon,Perpignan,Mountain stage,Ottavio Bottecchia,ITA,1924
8,1924-07-06,427.0,Perpignan,Toulon,Flat stage,Louis Mottiat,BEL,1924
9,1924-07-08,280.0,Toulon,Nice,Mountain stage,Philippe Thys,BEL,1924
10,1924-07-10,275.0,Nice,Briançon,Mountain stage,Giovanni Brunero,ITA,1924
11,1924-07-12,307.0,Briançon,Gex,Mountain stage,Nicolas Frantz,LUX,1924
12,1924-07-14,360.0,Gex,Strasbourg,Mountain stage,Nicolas Frantz,LUX,1924
13,1924-07-16,300.0,Strasbourg,Metz,Flat stage,Arsène Alancourt,FRA,1924
14,1924-07-18,433.0,Metz,Dunkerque,Flat stage,Romain Bellenger,FRA,1924
15,1924-07-20,343.0,Dunkerque,Paris,Flat stage,Ottavio Bottecchia,ITA,1924
1,1923-06-24,381.0,Paris,Le Havre,Flat stage,Robert Jacquinot,FRA,1923
2,1923-06-26,371.0,Le Havre,Cherbourg,Flat stage,Ottavio Bottecchia,ITA,1923
3,1923-06-28,405.0,Cherbourg,Brest,Flat stage,Henri Pélissier,FRA,1923
4,1923-06-30,412.0,Brest,Les Sables d'Olonne,Flat stage,Albert Dejonghe,BEL,1923
5,1923-07-02,482.0,Les Sables d'Olonne,Bayonne,Flat stage,Robert Jacquinot,FRA,1923
6,1923-07-04,326.0,Bayonne,Luchon,Mountain stage,Jean Alavoine,FRA,1923
7,1923-07-06,323.0,Luchon,Perpignan,Mountain stage,Jean Alavoine,FRA,1923
8,1923-07-08,427.0,Perpignan,Toulon,Flat stage,Lucien Buysse,BEL,1923
9,1923-07-10,281.0,Toulon,Nice,Mountain stage,Jean Alavoine,FRA,1923
10,1923-07-12,275.0,Nice,Briançon,Mountain stage,Henri Pélissier,FRA,1923
11,1923-07-14,260.0,Briançon,Geneva,Mountain stage,Henri Pélissier,FRA,1923
12,1923-07-16,377.0,Geneva,Strasbourg,Flat stage,Joseph Muller,FRA,1923
13,1923-07-18,300.0,Strasbourg,Metz,Flat stage,Romain Bellenger,FRA,1923
14,1923-07-20,433.0,Metz,Dunkerque,Flat stage,Félix Goethals,FRA,1923
15,1923-07-22,343.0,Dunkerque,Paris,Flat stage,Félix Goethals,FRA,1923
1,1922-06-25,388.0,Paris,Le Havre,Flat stage,Robert Jacquinot,FRA,1922
2,1922-06-27,364.0,Le Havre,Cherbourg,Flat stage,Romain Bellenger,FRA,1922
3,1922-06-29,405.0,Cherbourg,Brest,Flat stage,Robert Jacquinot,FRA,1922
4,1922-07-01,412.0,Brest,Les Sables d'Olonne,Flat stage,Philippe Thys,BEL,1922
5,1922-07-03,482.0,Les Sables d'Olonne,Bayonne,Flat stage,Jean Alavoine,FRA,1922
6,1922-07-05,326.0,Bayonne,Luchon,Mountain stage,Jean Alavoine,FRA,1922
7,1922-07-07,323.0,Luchon,Perpignan,Mountain stage,Jean Alavoine,FRA,1922
8,1922-07-09,411.0,Perpignan,Toulon,Flat stage,Philippe Thys,BEL,1922
9,1922-07-11,284.0,Toulon,Nice,Mountain stage,Philippe Thys,BEL,1922
10,1922-07-13,274.0,Nice,Briançon,Mountain stage,Philippe Thys,BEL,1922
11,1922-07-15,260.0,Briançon,Geneva,Mountain stage,Emile Masson},BEL,1922
12,1922-07-17,371.0,Geneva,Strasbourg,Flat stage,Emile Masson,BEL,1922
13,1922-07-19,300.0,Strasbourg,Metz,Flat stage,Federico Gay,ITA,1922
14,1922-07-21,433.0,Metz,Dunkerque,Flat stage,Félix Sellier,BEL,1922
15,1922-07-23,340.0,Dunkerque,Paris,Flat stage,Philippe Thys,BEL,1922
1,1921-06-26,388.0,Paris,Le Havre,Flat stage,Louis Mottiat,BEL,1921
2,1921-06-28,364.0,Le Havre,Cherbourg,Flat stage,Romain Bellenger,FRA,1921
3,1921-06-30,405.0,Cherbourg,Brest,Flat stage,Leon Scieur,BEL,1921
4,1921-07-02,412.0,Brest,Les Sables-d'Olonne,Flat stage,Louis Mottiat,BEL,1921
5,1921-07-04,482.0,Les Sables-d'Olonne,Bayonne,Flat stage,Louis Mottiat,BEL,1921
6,1921-07-06,326.0,Bayonne,Luchon,Mountain stage,Hector Heusghem,BEL,1921
7,1921-07-08,323.0,Luchon,Perpignan,Mountain stage,Louis Mottiat,BEL,1921
8,1921-07-10,411.0,Perpignan,Toulon,Flat stage,Luigi Lucotti,ITA,1921
9,1921-07-12,272.0,Toulon,Nice,Mountain stage,Firmin Lambot,BEL,1921
10,1921-07-14,333.0,Nice,Grenoble,Mountain stage,Leon Scieur,BEL,1921
11,1921-07-16,325.0,Grenoble,Geneva,Mountain stage,Félix Goethals,FRA,1921
12,1921-07-18,371.0,Geneva,Strasbourg,Flat stage,Honoré Barthélemy,FRA,1921
13,1921-07-20,300.0,Strasbourg,Metz,Flat stage,Félix Sellier,BEL,1921
14,1921-07-22,433.0,Metz,Dunkerque,Flat stage,Félix Goethals,FRA,1921
15,1921-07-24,340.0,Dunkerque,Paris,Flat stage,Félix Goethals,FRA,1921
1,1920-06-27,388.0,Paris,Le Havre,Flat stage,Louis Mottiat,BEL,1920
2,1920-06-29,364.0,Le Havre,Cherbourg,Flat stage,Philippe Thys,BEL,1920
3,1920-07-01,405.0,Cherbourg,Brest,Flat stage,Henri Pélissier,FRA,1920
4,1920-07-03,412.0,Brest,Les Sables d'Olonne,Flat stage,Henri Pélissier,FRA,1920
5,1920-07-05,482.0,Les Sables d'Olonne,Bayonne,Flat stage,Firmin Lambot,BEL,1920
6,1920-07-07,326.0,Bayonne,Luchon,Mountain stage,Firmin Lambot,BEL,1920
7,1920-07-09,323.0,Luchon,Perpignan,Mountain stage,Jean Rossius,BEL,1920
8,1920-07-11,325.0,Perpignan,Aix-en-Provence,Flat stage,Louis Heusghem,BEL,1920
9,1920-07-14,356.0,Aix-en-Provence,Nice,Mountain stage,Philippe Thys,BEL,1920
10,1920-07-16,333.0,Nice,Grenoble,Mountain stage,Hector Heusghem,BEL,1920
11,1920-07-18,362.0,Grenoble,Gex,Mountain stage,Léon Scieur,BEL,1920
12,1920-07-20,354.0,Gex,Strasbourg,Flat stage,Philippe Thys,BEL,1920
13,1920-07-22,300.0,Strasbourg,Metz,Flat stage,Philippe Thys,BEL,1920
14,1920-07-24,433.0,Metz,Dunkerque,Flat stage,Félix Goethals,FRA,1920
15,1920-07-27,340.0,Dunkerque,Paris,Flat stage,Jean Rossius,BEL,1920
1,1919-06-29,388.0,Paris,Le Havre,Flat stage,Jean Rossius,BEL,1919
2,1919-07-01,364.0,Le Havre,Cherbourg,Flat stage,Henri Pélissier,FRA,1919
3,1919-07-03,405.0,Cherbourg,Brest,Flat stage,Francis Pélissier,FRA,1919
4,1919-07-05,412.0,Brest,Les Sables-d'Olonne,Flat stage,Jean Alavoine,FRA,1919
5,1919-07-07,482.0,Les Sables-d'Olonne,Bayonne,Flat stage,Jean Alavoine,FRA,1919
6,1919-07-09,326.0,Bayonne,Luchon,Mountain stage,Honore Barthelemy,FRA,1919
7,1919-07-11,323.0,Luchon,Perpignan,Mountain stage,Jean Alavoine,FRA,1919
8,1919-07-13,370.0,Perpignan,Marseille,Flat stage,Jean Alavoine,FRA,1919
9,1919-07-15,338.0,Marseille,Nice,Mountain stage,Honoré Barthélemy,FRA,1919
10,1919-07-17,333.0,Nice,Grenoble,Mountain stage,Honoré Barthélemy,FRA,1919
11,1919-07-19,325.0,Grenoble,Geneva,Mountain stage,Honoré Barthélemy,FRA,1919
12,1919-07-21,371.0,Geneva,Strasbourg,Mountain stage,Luigi Lucotti,ITA,1919
13,1919-07-23,315.0,Strasbourg,Metz,Flat stage,Luigi Lucotti,ITA,1919
14,1919-07-25,468.0,Metz,Dunkerque,Flat stage,Firmin Lambot,BEL,1919
15,1919-07-27,340.0,Dunkerque,Paris,Flat stage,Jean Alavoine,FRA,1919
1,1914-06-28,388.0,Paris,Le Havre,Flat stage,Philippe Thys,BEL,1914
2,1914-06-30,364.0,Le Havre,Cherbourg,Flat stage,Jean Rossius,BEL,1914
3,1914-07-02,405.0,Cherbourg,Brest,Flat stage,Emile Engel,FRA,1914
4,1914-07-04,470.0,Brest,La Rochelle,Flat stage,Oscar Egg,SUI,1914
5,1914-07-06,376.0,La Rochelle,Bayonne,Flat stage,Oscar Egg,SUI,1914
6,1914-07-08,326.0,Bayonne,Luchon,Mountain stage,Firmin Lambot,BEL,1914
7,1914-07-10,323.0,Luchon,Perpignan,Mountain stage,Jean Alavoine,FRA,1914
8,1914-07-12,370.0,Perpignan,Marseille,Flat stage,Octave Lapize,FRA,1914
9,1914-07-14,338.0,Marseille,Nice,Mountain stage,Jean Rossius,BEL,1914
10,1914-07-16,323.0,Nice,Grenoble,Mountain stage,Henri Pélissier,FRA,1914
11,1914-07-18,325.0,Grenoble,Geneva,Mountain stage,Gustave Garrigou,FRA,1914
12,1914-07-20,325.0,Geneva,Belfort,Mountain stage,Henri Pélissier,FRA,1914
13,1914-07-22,325.0,Belfort,Longwy,Mountain stage,François Faber,LUX,1914
14,1914-07-24,390.0,Longwy,Dunkerque,Flat stage,François Faber,LUX,1914
15,1914-07-26,340.0,Dunkerque,Paris,Flat stage,Henri Pélissier,FRA,1914
1,1913-06-29,388.0,Paris,Le Havre,Flat stage,Giovanni Micheletto,ITA,1913
2,1913-07-01,364.0,Le Havre,Cherbourg,Flat stage,Jules Masselis,BEL,1913
3,1913-07-03,405.0,Cherbourg,Brest,Flat stage,Henri Pelissier,FRA,1913
4,1913-07-05,470.0,Brest,La Rochelle,Flat stage,Marcel Buysse,BEL,1913
5,1913-07-07,379.0,La Rochelle,Bayonne,Flat stage,Henri Van Lerberghe,BEL,1913
6,1913-07-09,326.0,Bayonne,Luchon,Mountain stage,Philippe Thys,BEL,1913
7,1913-07-11,324.0,Luchon,Perpignan,Mountain stage,Marcel Buysse,BEL,1913
8,1913-07-13,325.0,Perpignan,Aix-en-Provence,Flat stage,Gustave Garrigou,FRA,1913
9,1913-07-15,356.0,Aix-en-Provence,Nice,Mountain stage,Firmin Lambot,BEL,1913
10,1913-07-17,333.0,Nice,Grenoble,Mountain stage,Francois Faber,LUX,1913
11,1913-07-19,325.0,Grenoble,Geneva,Mountain stage,Marcel Buysse,BEL,1913
12,1913-07-21,335.0,Geneva,Belfort,Mountain stage,Marcel Buysse,BEL,1913
13,1913-07-23,325.0,Belfort,Longwy,Mountain stage,François Faber,LUX,1913
14,1913-07-25,393.0,Longwy,Dunkerque,Flat stage,Marcel Buysse,BEL,1913
15,1913-07-27,340.0,Dunkerque,Paris,Flat stage,Marcel Buysse,BEL,1913
1,1912-06-30,351.0,Paris,Dunkerque,Flat stage,Charles Crupelandt,FRA,1912
2,1912-07-02,388.0,Dunkerque,Longwy,Flat stage,Odile Defraye,BEL,1912
3,1912-07-04,331.0,Longwy,Belfort,Mountain stage,Eugène Christophe,FRA,1912
4,1912-07-06,344.0,Belfort,Chamonix,Mountain stage,Eugène Christophe,FRA,1912
5,1912-07-08,366.0,Chamonix,Grenoble,Mountain stage,Eugène Christophe,FRA,1912
6,1912-07-10,323.0,Grenoble,Nice,Mountain stage,Octave Lapize,FRA,1912
7,1912-07-12,334.0,Nice,Marseille,Mountain stage,Odile Defraye,BEL,1912
8,1912-07-14,335.0,Marseille,Perpignan,Flat stage,Vicenzo Borgarello,ITA,1912
9,1912-07-16,289.0,Perpignan,Luchon,Mountain stage,Odile Defraye,BEL,1912
10,1912-07-18,326.0,Luchon,Bayonne,Mountain stage,Louis Mottiat,BEL,1912
11,1912-07-20,379.0,Bayonne,La Rochelle,Flat stage,Jean Alavoine,FRA,1912
12,1912-07-21,470.0,La Rochelle,Brest,Flat stage,Louis Heusghem,BEL,1912
13,1912-07-24,405.0,Brest,Cherbourg,Flat stage,Jean Alavoine,FRA,1912
14,1912-07-26,361.0,Cherbourg,Le Havre,Flat stage,Vicenzo Borgarello,ITA,1912
15,1912-07-28,317.0,Le Havre,Paris,Flat stage,Jean Alavoine,FRA,1912
1,1911-07-02,351.0,Paris,Dunkerque,Flat stage,Gustave Garrigou,FRA,1911
2,1911-07-04,388.0,Dunkerque,Longwy,Flat stage,Jules Masselis,BEL,1911
3,1911-07-06,331.0,Longwy,Belfort,Mountain stage,François Faber,LUX,1911
4,1911-07-08,344.0,Belfort,Chamonix,Mountain stage,Charles Crupelandt,FRA,1911
5,1911-07-10,366.0,Chamonix,Grenoble,Mountain stage,Émile Georget,FRA,1911
6,1911-07-12,348.0,Grenoble,Nice,Mountain stage,François Faber,LUX,1911
7,1911-07-14,334.0,Nice,Marseille,Mountain stage,Charles Crupelandt,FRA,1911
8,1911-07-16,335.0,Marseille,Perpignan,Flat stage,Paul Duboc,FRA,1911
9,1911-07-18,289.0,Perpignan,Luchon,Mountain stage,Paul Duboc,FRA,1911
10,1911-07-20,326.0,Luchon,Bayonne,Mountain stage,Maurice Brocco[n 2],FRA,1911
11,1911-07-22,379.0,Bayonne,La Rochelle,Flat stage,Paul Duboc,FRA,1911
12,1911-07-23,470.0,La Rochelle,Brest,Flat stage,Marcel Godivier,FRA,1911
13,1911-07-26,405.0,Brest,Cherbourg,Flat stage,Gustave Garrigou,FRA,1911
14,1911-07-28,361.0,Cherbourg,Le Havre,Flat stage,Paul Duboc,FRA,1911
15,1911-07-30,317.0,Le Havre,Paris,Flat stage,Marcel Godivier,FRA,1911
1,1910-07-03,269.0,Paris,Roubaix,Flat stage,Charles Crupelandt,FRA,1910
2,1910-07-05,398.0,Roubaix,Metz,Flat stage,François Faber,LUX,1910
3,1910-07-07,259.0,Metz,Belfort,Mountain stage,Emile Georget,FRA,1910
4,1910-07-09,309.0,Belfort,Lyon,Mountain stage,François Faber,LUX,1910
5,1910-07-11,311.0,Lyon,Grenoble,Mountain stage,Octave Lapize,FRA,1910
6,1910-07-13,345.0,Grenoble,Nice,Mountain stage,Julien Maitron,FRA,1910
7,1910-07-15,345.0,Nice,Nîmes,Flat stage,François Faber,LUX,1910
8,1910-07-17,216.0,Nîmes,Perpignan,Flat stage,Georges Paulmier,FRA,1910
9,1910-07-19,289.0,Perpignan,Luchon,Mountain stage,Octave Lapize,FRA,1910
10,1910-07-21,326.0,Luchon,Bayonne,Mountain stage,Octave Lapize,FRA,1910
11,1910-07-23,269.0,Bayonne,Bordeaux,Flat stage,Ernest Paul,FRA,1910
12,1910-07-25,391.0,Bordeaux,Nantes,Flat stage,Louis Trousselier,FRA,1910
13,1910-07-27,321.0,Nantes,Brest,Flat stage,Gustave Garrigou,FRA,1910
14,1910-07-29,424.0,Brest,Caen,Flat stage,Octave Lapize,FRA,1910
15,1910-07-31,262.0,Caen,Paris,Flat stage,Ernesto Azzini,ITA,1910
1,1909-07-05,272.0,Paris,Roubaix,Flat stage,Cyrille van Hauwaert,BEL,1909
2,1909-07-07,398.0,Roubaix,Metz,Flat stage,François Faber,LUX,1909
3,1909-07-09,259.0,Metz,Belfort,Mountain stage,François Faber,LUX,1909
4,1909-07-11,309.0,Belfort,Lyon,Mountain stage,François Faber,LUX,1909
5,1909-07-13,311.0,Lyon,Grenoble,Mountain stage,François Faber,LUX,1909
6,1909-07-15,346.0,Grenoble,Nice,Mountain stage,François Faber,LUX,1909
7,1909-07-17,345.0,Nice,Nîmes,Flat stage,Ernest Paul,FRA,1909
8,1909-07-19,303.0,Nîmes,Toulouse,Flat stage,Jean Alavoine,FRA,1909
9,1909-07-21,299.0,Toulouse,Bayonne,Flat stage,Constant Ménager,FRA,1909
